For the project : https://tintn.github.io/Implementing-Vision-Transformer-from-Scratch/

Epoch: 76, Train loss: 0.9985, Test loss: 1.0581, Accuracy: 0.6274
Epoch: 77, Train loss: 1.0032, Test loss: 1.0883, Accuracy: 0.6273
Epoch: 78, Train loss: 1.0059, Test loss: 1.0157, Accuracy: 0.6388
Epoch: 79, Train loss: 1.0029, Test loss: 1.0022, Accuracy: 0.6508
Epoch: 80, Train loss: 0.9957, Test loss: 1.0995, Accuracy: 0.6176
Epoch: 81, Train loss: 0.9974, Test loss: 0.9737, Accuracy: 0.6519
Epoch: 82, Train loss: 0.9969, Test loss: 0.9899, Accuracy: 0.6519
Epoch: 83, Train loss: 0.9976, Test loss: 0.9991, Accuracy: 0.6483
Epoch: 84, Train loss: 0.9912, Test loss: 1.0416, Accuracy: 0.6298
Epoch: 85, Train loss: 1.0003, Test loss: 1.0501, Accuracy: 0.6381
Epoch: 86, Train loss: 0.9976, Test loss: 1.0190, Accuracy: 0.6477
Epoch: 87, Train loss: 0.9986, Test loss: 0.9794, Accuracy: 0.6494
Epoch: 88, Train loss: 0.9982, Test loss: 1.0418, Accuracy: 0.6377
Epoch: 89, Train loss: 0.9923, Test loss: 0.9961, Accuracy: 0.6535
Epoch: 90, Train loss: 0.9935, Test loss: 1.0878, Accuracy: 0.6277
Epoch: 91, Train loss: 0.9944, Test loss: 1.0481, Accuracy: 0.6367
Epoch: 92, Train loss: 0.9994, Test loss: 1.0296, Accuracy: 0.6397
Epoch: 93, Train loss: 0.9937, Test loss: 0.9563, Accuracy: 0.6579
Epoch: 94, Train loss: 0.9992, Test loss: 1.0465, Accuracy: 0.6277
Epoch: 95, Train loss: 1.0027, Test loss: 1.0601, Accuracy: 0.6289
